"Número de pedido";"Fecha de creación";"Gestion";"Estado";"Fulfillment Status";"Tracking status";"Delivery Tracking ID";"Delivery Transaction ID";"Originating Channel";"Origin Store Location: Name"
"229498218";"05/10/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323807080";"000229498218001";"E-Commerce";"Community"
"230592340";"04/05/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323845470";"000230592340001";"E-Commerce";"Community"
"230100862";"28/09/2020";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323830070";"000230100862001";"E-Commerce";"Community"
"228963727";"04/05/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323780140";"000228963727001";"E-Commerce";"Community"
"229905731";"15/07/2020";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323819900";"000229905731001";"E-Commerce";"Community"
"229063401";"29/09/2020";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323784670";"000229063401001";"E-Commerce";"Community"
"229827344";"12/04/2021";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323759090";"000229827344001";"Call Center";"Activo Contact Center"
"228511290";"05/08/2021";"Venta";"Iniciada";"In Progress";"Despachado";"900000323743830";"000228511290001";"E-Commerce";"Community"
"229345724";"28/09/2020";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323802230";"000229345724001";"E-Commerce";"Community"
"230371201";"31/05/2023";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323833960";"000230371201001";"Call Center";"Teleperformance Ventas"
"228335319";"02/11/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323734990";"000228335319001";"E-Commerce";"Community"
"230596782";"03/05/2021";"Venta PortIn";"Activada";"Activated";"Despachado";"G00001000085180";"000230596782001";"Call Center";"Teleperformance Ventas"
"228991943";"11/04/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"3532000228991943001";"000228991943001";"E-Commerce";"Community"
"229063348";"06/11/2020";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323784660";"000229063348001";"E-Commerce";"Community"
"230031757";"02/11/2020";"Venta PortIn";"Activada";"Activated";"Despachado";"G00000998389460";"000230031757001";"Call Center";"Teleperformance Ventas"
"230319199";"04/05/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323832700";"000230319199001";"E-Commerce";"Community"
"230575762";"06/11/2020";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323844880";"000230575762001";"E-Commerce";"Community"
"229983426";"11/04/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323821990";"000229983426001";"E-Commerce";"Community"
"230494488";"04/09/2020";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323840170";"000230494488001";"Call Center";"CAT TECHNOLOGIES"
"229498243";"09/02/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323807090";"000229498243001";"E-Commerce";"Community"
"230144842";"05/11/2020";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323831090";"000230144842001";"E-Commerce";"Community"
"229497578";"17/07/2020";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323807030";"000229497578001";"E-Commerce";"Community"
"230049465";"20/05/2020";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323828710";"000230049465001";"Call Center";"Teleperformance Ventas"
"229370681";"27/12/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323802650";"000229370681001";"E-Commerce";"Community"
